 -2463.20557      0.000989      0.00013 53167.823713781632250 -2467.176286218365476  3051.594699 w040611_192112.rf.pcm.dzTf8p 1050CM_WBCORR 10CM_WBCORR 10CM_1050CM_WBCORR 1050CM WBCORR 10CM 1920.00 1920.00 512.00 128 PPTA J1909-3744_10cm_ana_WBCORR_w04091 1 P456 wbb256_512_128_3p_b 66.88 0.99 WBCORR_10CM 10CM_WBCORR
 -2453.35840      0.000894      0.00031 53177.670770209406328 -2457.329229790594582  3059.959372 w040621_154032.rf.pcm.dzTf8p 1050CM_WBCORR 10CM_WBCORR 10CM_1050CM_WBCORR 1050CM WBCORR 10CM 1920.00 1920.00 512.00 128 PPTA J1909-3744_10cm_ana_WBCORR_w04091 1 P456 wbb256_512_128_3p_b 23.75 0.99 WBCORR_10CM 10CM_WBCORR
 -2453.33130      0.000321      0.00024 53177.697969856926647 -2457.302030143075172  3062.216311 w040621_161935.rf.pcm.dzTf8p 1050CM_WBCORR 10CM_WBCORR 10CM_1050CM_WBCORR 1050CM WBCORR 10CM 1920.00 1920.00 512.00 128 PPTA J1909-3744_10cm_ana_WBCORR_w04091 1 P456 wbb256_512_128_3p_b 25.22 0.99 WBCORR_10CM 10CM_WBCORR
 -2450.20850      0.000336      0.00024 53180.820833566896908 -2454.179166433105365  3057.856969 w040624_191630.rf.pcm.dzTf8p 1050CM_WBCORR 10CM_WBCORR 10CM_1050CM_WBCORR 1050CM WBCORR 10CM 1920.00 1920.00 512.00 128 PPTA J1909-3744_10cm_ana_WBCORR_w04091 1 P456 wbb256_512_128_3p_b 33.55 0.99 WBCORR_10CM 10CM_WBCORR
 -2425.48950      0.000821      0.00010 53205.539768163347617 -2429.460231836654657  3039.339452 w040719_123652.rf.pcm.dzTf8p 1050CM_WBCORR 10CM_WBCORR 10CM_1050CM_WBCORR 1050CM WBCORR 10CM 1320.00 1320.00 512.00 128 PPTA J1909-3744_10cm_ana_WBCORR_w04091 1 P456 wbb256_512_128_3p_b 74.15 0.99 WBCORR_10CM 10CM_WBCORR
 -2421.46240      0.000885      0.00098 53209.566752364917193 -2425.433247635083262  3129.334614 w040723_131048.rf.pcm.dzTf2p 1050CM_WBCORR 10CM_WBCORR 10CM_1050CM_WBCORR 1050CM WBCORR 10CM 1920.00 1920.00 512.00 128 PPTA J1909-3744_10cm_ana_WBCORR_w04091 1 P456 wbb256_512_128_3p_b 15.77 1.00 WBCORR_10CM 10CM_WBCORR
 -2419.28955      0.001657      0.00141 53211.739605132395809 -2423.260394867605555  3098.000000 w040725_171951.rf.pcm.dzTf1p 1050CM_WBCORR 10CM_WBCORR 10CM_1050CM_WBCORR 1050CM WBCORR 10CM 1920.00 1920.00 512.00 128 PPTA J1909-3744_10cm_ana_WBCORR_w04091 1 P456 wbb256_512_128_3p_b 15.68 0.99 WBCORR_10CM 10CM_WBCORR
 -2411.34131      0.001806      0.00033 53219.688038535270607 -2415.311961464728483  3172.154172 w040802_155159.rf.pcm.dzTf8p 1050CM_WBCORR 10CM_WBCORR 10CM_1050CM_WBCORR 1050CM WBCORR 10CM 3600.00 3600.00 512.00 128 PPTA J1909-3744_10cm_ana_WBCORR_w04091 1 P456 wbb256_512_128_3p_b 5.41 1.04 WBCORR_10CM 10CM_WBCORR
 -2403.35303      0.001097      0.00055 53227.676194342959207 -2407.323805657041703  3098.597612 w040810_154930.rf.pcm.dzTf4p 1050CM_WBCORR 10CM_WBCORR 10CM_1050CM_WBCORR 1050CM WBCORR 10CM 1920.00 1920.00 512.00 128 PPTA J1909-3744_10cm_ana_WBCORR_w04091 1 P456 wbb256_512_128_3p_b 17.20 1.01 WBCORR_10CM 10CM_WBCORR
 -2401.34790      0.000455      0.00004 53229.681292209555977 -2405.318707790446751  3008.630487 w040812_155656.rf.pcm.dzTf8p 1050CM_WBCORR 10CM_WBCORR 10CM_1050CM_WBCORR 1050CM WBCORR 10CM 1920.00 1920.00 512.00 128 PPTA J1909-3744_10cm_ana_WBCORR_w04091 1 P456 wbb256_512_128_3p_b 246.66 1.06 WBCORR_10CM 10CM_WBCORR
 -2384.55835      0.000388      0.00036 53246.470799628892564 -2388.529200371106981  3007.218188 w040829_105533.rf.pcm.dzTf8p 1050CM_WBCORR 10CM_WBCORR 10CM_1050CM_WBCORR 1050CM WBCORR 10CM 1919.99 1919.99 512.00 128 PPTA J1909-3744_10cm_ana_WBCORR_w04091 1 P456 wbb256_512_128_3p_b 22.87 1.03 WBCORR_10CM 10CM_WBCORR
 -2383.39111      0.000483      0.00046 53247.638071441171633 -2387.361928558828822  3057.579005 w040830_145626.rf.pcm.dzTf4p 1050CM_WBCORR 10CM_WBCORR 10CM_1050CM_WBCORR 1050CM WBCORR 10CM 1920.00 1920.00 512.00 128 PPTA J1909-3744_10cm_ana_WBCORR_w04091 1 P456 wbb256_512_128_3p_b 24.30 0.98 WBCORR_10CM 10CM_WBCORR
 -2369.56738      0.001298      0.00017 53261.461809550703038 -2373.538190449297417  3083.417654 w040913_104417.rf.pcm.dzTf8p 1050CM_WBCORR 10CM_WBCORR 10CM_1050CM_WBCORR 1050CM WBCORR 10CM 1920.00 1920.00 512.00 128 PPTA J1909-3744_10cm_ana_WBCORR_w04091 1 P456 wbb256_512_128_3p_b 47.50 0.99 WBCORR_10CM 10CM_WBCORR
 -2369.54248      0.000984      0.00013 53261.486807402405248 -2373.513192597592479  3085.916877 w040913_112020.rf.pcm.dzTf8p 1050CM_WBCORR 10CM_WBCORR 10CM_1050CM_WBCORR 1050CM WBCORR 10CM 1920.00 1920.00 512.00 128 PPTA J1909-3744_10cm_ana_WBCORR_w04091 1 P456 wbb256_512_128_3p_b 65.06 0.99 WBCORR_10CM 10CM_WBCORR
 -2369.51758      0.000826      0.00010 53261.511573693249375 -2373.488426306751535  3076.396603 w040913_115600.rf.pcm.dzTf8p 1050CM_WBCORR 10CM_WBCORR 10CM_1050CM_WBCORR 1050CM WBCORR 10CM 1920.00 1920.00 512.00 128 PPTA J1909-3744_10cm_ana_WBCORR_w04091 1 P456 wbb256_512_128_3p_b 82.53 1.01 WBCORR_10CM 10CM_WBCORR
 -2358.50464      0.000389      0.00025 53272.524689176774700 -2362.475310823225755  3079.848857 w040924_121615.rf.pcm.dzTf8p 1050CM_WBCORR 10CM_WBCORR 10CM_1050CM_WBCORR 1050CM WBCORR 10CM 1920.00 1920.00 512.00 128 PPTA J1909-3744_10cm_ana_WBCORR_w04091 1 P456 wbb256_512_128_3p_b 27.50 0.97 WBCORR_10CM 10CM_WBCORR
