    0.156456834396559952E+01    0.194105343470458103E+00    0.681981482494803282E+00   -0.114377087413986374E+02    0.295307155667321131E+00    0.894542914270347683E+05
   -0.499895045107334290E+00    0.144347989863349346E+00    0.637159290722448368E+00   -0.113130553422452014E+02    0.388691893096426822E+00    0.894547911177904462E+05
    0.103056537183615227E+02    0.225317472143219677E+00    0.763676561084533412E+00   -0.113107727062264516E+02    0.463791597297584790E+00    0.894557589643462561E+05
   -0.457948516964357122E+00    0.150084254061127464E+00    0.630512507870955030E+00   -0.112493899643719057E+02    0.258583990991417878E+00    0.894573392138597264E+05
    0.218218664880538959E+01    0.193345741288153461E+00    0.682762119558567360E+00   -0.112005706739554416E+02    0.882186955029436115E+00    0.894573676019700360E+05
    0.419175479071638435E+01    0.209065054109709547E+00    0.716456844473495558E+00   -0.113134529805488029E+02    0.224559701267190659E+00    0.894578024545441149E+05
    0.188128667511779479E+01    0.195422631112543377E+00    0.696071122546954357E+00   -0.112611597773368004E+02    0.512279040254906781E+00    0.894578366903369897E+05
    0.196214394922866742E+01    0.348456919615370397E+00    0.322310032503965116E+00   -0.112662264096007743E+02    0.391505995028658904E+00    0.894581385002659517E+05
   -0.416674990807522683E+00    0.131033683513585408E+00    0.620464284346120998E+00   -0.113740939561008449E+02    0.418488923760542753E+00    0.894581445673239505E+05
    0.426695961798927748E+01    0.327869227408570441E+00    0.276824148569742523E+00   -0.113552338813657236E+02    0.404284453966954893E+00    0.894582317207698943E+05
    0.478896987015976627E+01    0.324989985997104380E+00    0.269440632268858948E+00   -0.112885949490188917E+02    0.432691483603315108E+00    0.894582455242034048E+05
    0.246075308709533935E+01    0.192709193203958767E+00    0.685535779246429389E+00   -0.112732563591097161E+02    0.620938010382630190E+00    0.894585767292316305E+05
    0.159022657609637896E+01    0.354446728308580983E+00    0.324212432071525392E+00   -0.113387802958530148E+02    0.583504390755729574E+00    0.894587332755408715E+05
   -0.842997258393493931E+00    0.409952044180502906E+00    0.384411186870357413E+00   -0.112959054366545519E+02    0.350266098770658674E+00    0.894588025881027424E+05
    0.820274740390707358E-01    0.156260338698759577E+00    0.644278390592998740E+00   -0.113775208128631338E+02    0.193226880507887222E+00    0.894588424212461105E+05
   -0.371278847052426197E+00    0.398679891161444533E+00    0.371589837764601694E+00   -0.113066510151243449E+02    0.227104758447587818E+00    0.894590021722735837E+05
    0.500888178421503216E+01    0.214378955780493263E+00    0.731655450181282752E+00   -0.112700275732435156E+02    0.559677286126616602E+00    0.894592230364979478E+05
    0.133773050992312381E+01    0.351824561298080984E+00    0.328342238108618401E+00   -0.112952908446097560E+02    0.795157907073037462E+00    0.894593685464345617E+05
    0.196448329613421802E+01    0.189343348432309100E+00    0.681754616513932321E+00   -0.112135023501510371E+02    0.868628806353427874E+00    0.894594027013008017E+05
    0.147873712369894150E+01    0.349353239899620416E+00    0.322398285792684203E+00   -0.113508839108138133E+02    0.158672324014192706E+00    0.894594678476466215E+05
    0.471770656875699856E+01    0.324176540789813006E+00    0.275593472801188455E+00   -0.112373712693757017E+02    0.670571443998599581E+00    0.894595104860409629E+05
   -0.685345381082991256E+00    0.417768881399121772E+00    0.381968411601441349E+00   -0.112232485768813426E+02    0.606773948860853451E+00    0.894595722380310472E+05
   -0.264542091653881872E+00    0.398864547065619579E+00    0.371865377712711276E+00   -0.112374719873528957E+02    0.454268079386501933E+00    0.894596486138967448E+05
    0.838741766645263898E+00    0.368712952347606815E+00    0.345559860151792797E+00   -0.112841761077358083E+02    0.567730070534511966E+00    0.894596581854964024E+05
    0.207633808305598855E+00    0.156416891359434151E+00    0.643284906001160284E+00   -0.113726584608060914E+02    0.432399119603333548E+00    0.894596857755257224E+05
    0.746362966679711803E+00    0.184665346223400639E+00    0.669024169318510831E+00   -0.113440016799176142E+02    0.234519652550466196E+00    0.894597275435320917E+05
    0.358265014133377147E+01    0.208307797064671979E+00    0.716610136607074288E+00   -0.112451849307122327E+02    0.685396225056649433E+00    0.894597487274588784E+05
   -0.958596901111756772E-01    0.369770608952422197E+00    0.350645809808817766E+00   -0.112625810419354639E+02    0.596957245771364553E+00    0.894597642953644681E+05
   -0.864890966024874697E+00    0.420387094740024891E+00    0.388915527911456227E+00   -0.112874333023945344E+02    0.656902036841899739E+00    0.894597720579512388E+05
    0.141547825217080092E+00    0.383896121140811009E+00    0.355717423180038128E+00   -0.112567443323937635E+02    0.462772162948248800E+00    0.894597723212252895E+05
   -0.906089215016209870E+00    0.429205406648000554E+00    0.391903012811898099E+00   -0.112807606929134394E+02    0.471390472370480873E+00    0.894598580751894042E+05
   -0.456467120785928326E+00    0.138366360415734052E+00    0.630890016403293230E+00   -0.112309964661415496E+02    0.764476346539962437E+00    0.894598654637714208E+05
