    0.297752380371093750E+00    0.679576396942138672E-02   -0.137284797430038452E+02    0.200385975837707520E+01   -0.474408788761289790E+06   -0.391195633965034517E+01    1
    0.327059447765350342E+00    0.943085908889770508E+00   -0.178183394670486450E+02    0.213913428783416748E+01    0.500317024253967393E+05   -0.393195633965034208E+01    1
    0.687841534614562988E+00    0.991735458374023438E-01   -0.141990548372268677E+02    0.403200352191925049E+01    0.590267132759589585E+05   -0.395195633965034165E+01    1
    0.882321357727050781E+00    0.150867044925689697E+00   -0.196694284677505493E+02    0.109786140918731689E+01    0.599984181516588433E+05   -0.397195633965034300E+01    1
    0.819592833518981934E+00    0.197725892066955566E+00   -0.134803682565689087E+02    0.290308463573455811E+01    0.608042912303706762E+05   -0.399195633965034391E+01    1
    0.873424768447875977E+00    0.233887016773223877E+00   -0.164083772897720337E+02    0.444576179981231689E+01    0.610577509071188470E+05   -0.401195633965034215E+01    1
    0.691031575202941895E+00    0.255094408988952637E+00   -0.179870086908340454E+02    0.382021093368530273E+01    0.613623080008159814E+05   -0.403195633965034173E+01    1
    0.874158918857574463E+00    0.251594543457031250E+00   -0.127838927507400513E+02    0.116013836860656738E+01    0.613747712112788722E+05   -0.405195633965034396E+01    1
    0.778200984001159668E+00    0.321690261363983154E+00   -0.165145725011825562E+02    0.125147867202758789E+01    0.614960251874260866E+05   -0.407195633965034443E+01    1
    0.922446727752685547E+00    0.274883031845092773E+00   -0.157643741369247437E+02    0.197934257984161377E+01    0.614988232399817061E+05   -0.409195633965034400E+01    1
    0.830393433570861816E+00    0.427427470684051514E+00   -0.195978748798370361E+02    0.572947382926940918E+01    0.618903757868077228E+05   -0.411195633965034357E+01    1
    0.233589947223663330E+00    0.805217266082763672E+00   -0.130173486471176147E+02    0.352749037742614746E+01    0.618920916805664820E+05   -0.413195633965034226E+01    1
    0.918038547039031982E+00    0.947281122207641602E+00   -0.128665208816528320E+02    0.433189022541046143E+01    0.619477708252574521E+05   -0.415195633965034450E+01    1
