Nested Sampling Global Log-Evidence           :    0.645518533516601092E+05  +/-    0.482836249560819275E+00
Nested Importance Sampling Global Log-Evidence:    0.645526833722112642E+05  +/-    0.164877195401907428E+00

Dim No.       Mean        Sigma
   1    0.587105889081294685E+00    0.280119543450822461E+00
   2    0.580174977401972436E+00    0.346530339336475535E+00
   3   -0.111338524729298136E+02    0.338444945634598093E-01
   4    0.163730151270409574E+01    0.140971375643155927E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.687812769306297311E+00
   2    0.856986647900499832E+00
   3   -0.111304161915573108E+02
   4    0.161535738994524536E+01

MAP Parameters
Dim No.        Parameter
   1    0.687812769306297311E+00
   2    0.856986647900499832E+00
   3   -0.111304161915573108E+02
   4    0.161535738994524536E+01
