    0.172804856300354004E+02    0.782869994640350342E+00    0.952733993530273438E+00   -0.100164031982421875E+02    0.182882308959960938E+01   -0.175238108634948730E+02    0.857276201248168945E+00   -0.107557123899459839E+02    0.482708609104156494E+01   -0.100000000000000000E+21   -0.460515351937698814E+01    1
   -0.290422201156616211E+01    0.128616631031036377E+00    0.425915718078613281E-01   -0.102967840433120728E+02    0.212487781047821045E+01   -0.149667197465896606E+02    0.279309833049774170E+01   -0.117098546028137207E+02    0.421352434158325195E+01   -0.100000000000000000E+21   -0.461515351937698259E+01    1
   -0.929822444915771484E+01    0.885829329490661621E+00    0.733035147190093994E+00   -0.102288407087326050E+02    0.186381483078002930E+01   -0.197687393426895142E+02    0.237168824672698975E+01   -0.176713705062866211E+02    0.249309289455413818E+01   -0.100000000000000000E+21   -0.462515351937698149E+01    1
   -0.404912233352661133E+01    0.175827324390411377E+00    0.177711248397827148E-02   -0.190841805934906006E+02    0.249142313003540039E+01   -0.174380636215209961E+02    0.148332774639129639E+01   -0.105454325675964355E+02    0.546301853656768799E+01   -0.332902987503831100E+10   -0.463515351937698661E+01    1
    0.192789506912231445E+02    0.836698710918426514E+00    0.184490680694580078E-01   -0.142120081186294556E+02    0.482425332069396973E+01   -0.130253744125366211E+02    0.450501751899719238E+01   -0.169957339763641357E+02    0.452012801170349121E+01   -0.484263877566094398E+08   -0.464515351937698728E+01    1
   -0.518398761749267578E+01    0.407125592231750488E+00    0.987725377082824707E+00   -0.192298585176467896E+02    0.414005613327026367E+01   -0.100213354825973511E+02    0.210885643959045410E+01   -0.103908163309097290E+02    0.138470792770385742E+01   -0.447898443658685684E+08   -0.465515351937698174E+01    1
    0.114283919334411621E+02    0.662214457988739014E+00    0.982720375061035156E+00   -0.174933910369873047E+02    0.153060328960418701E+01   -0.143302410840988159E+02    0.328266370296478271E+01   -0.104846161603927612E+02    0.247542607784271240E+01   -0.301138687044560611E+08   -0.466515351937698153E+01    1
    0.197455811500549316E+02    0.784545660018920898E+00    0.265731811523437500E-01   -0.174130082130432129E+02    0.273564040660858154E+01   -0.191485238075256348E+02    0.228644263744354248E+01   -0.167351436614990234E+02    0.393066930770874023E+01   -0.283704214651719481E+08   -0.467515351937698398E+01    1
    0.642201662063598633E+01    0.135480463504791260E+00    0.225714445114135742E-01   -0.165290164947509766E+02    0.382355439662933350E+01   -0.137402772903442383E+02    0.141850340366363525E+01   -0.146987891197204590E+02    0.200191855430603027E+00   -0.124610196826519966E+08   -0.468515351937698377E+01    1
   -0.185282707214355469E+02    0.875168859958648682E+00    0.383006930351257324E-01   -0.154312318563461304E+02    0.248508524894714355E+01   -0.131961309909820557E+02    0.206252896785736084E+01   -0.133071976900100708E+02    0.423845958709716797E+01   -0.921268493541625887E+07   -0.469515351937698444E+01    1
