Nested Sampling Global Log-Evidence           :    0.724019115452583646E+05  +/-    0.462605580392220161E+00
Nested Importance Sampling Global Log-Evidence:    0.724013586017929338E+05  +/-    0.287096428008532974E-01

Dim No.       Mean        Sigma
   1    0.870976521374168255E+00    0.982827211668243494E-01
   2    0.823874927582526784E+00    0.137339896688712465E+00
   3   -0.128319676498480444E+02    0.598235273058745076E-01
   4    0.118949454030970014E+01    0.246492344021925408E+00
   5   -0.117219254584150701E+02    0.226327296616345902E+00
   6    0.374136488298707270E+01    0.607494248666394343E+00
   7   -0.120994339809965155E+02    0.397480430454144745E-01
   8    0.220487064271312239E+01    0.223533096971163386E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.848900785932250712E+00
   2    0.848335663450017874E+00
   3   -0.128599969546980688E+02
   4    0.119419729140016728E+01
   5   -0.117378137846419524E+02
   6    0.370758836689827742E+01
   7   -0.121148131102129959E+02
   8    0.217361876289068601E+01

MAP Parameters
Dim No.        Parameter
   1    0.848900785932250712E+00
   2    0.848335663450017874E+00
   3   -0.128599969546980688E+02
   4    0.119419729140016728E+01
   5   -0.117378137846419524E+02
   6    0.370758836689827742E+01
   7   -0.121148131102129959E+02
   8    0.217361876289068601E+01
