    0.808001453807657977E+00    0.867288867950321896E+00   -0.127958455885321971E+02    0.150182461670233325E+01   -0.112362894009328471E+02    0.280364722008404321E+01   -0.121406656223869867E+02    0.277836304173597215E+01    0.724168462024098408E+05
    0.872155798648211245E+00    0.838263382607895902E+00   -0.127732299766888691E+02    0.138317688896518165E+01   -0.114289562488391336E+02    0.286141934493760752E+01   -0.120003090496990872E+02    0.199118039690737603E+01    0.724169523256591056E+05
    0.962794564278684595E+00    0.846061410141838444E+00   -0.128620387738244695E+02    0.157608620738880889E+01   -0.121958203167679340E+02    0.566312846621995103E+01   -0.120727282571352195E+02    0.260801976790906087E+01    0.724170941200365778E+05
    0.796661841213619271E+00    0.868429328119314281E+00   -0.127292694910112942E+02    0.154498611526109642E+01   -0.119030654468575481E+02    0.444187536018202600E+01   -0.120287257348415899E+02    0.220540453920398383E+01    0.724180003881786542E+05
    0.507711919664129097E+00    0.130563960449593397E+00   -0.126996850457722985E+02    0.125107726112700623E+01   -0.121702668832042242E+02    0.454264978053681467E+01   -0.121603988096057840E+02    0.206832991640128894E+01    0.724180255966241530E+05
    0.833735535191833632E+00    0.855625007169624086E+00   -0.128270769553576205E+02    0.191666692800898320E+01   -0.118064663947485240E+02    0.318644789066217005E+01   -0.121039280372735742E+02    0.245315415719097718E+01    0.724181063789940381E+05
    0.806181563981683613E+00    0.864593561170763580E+00   -0.129340558519689708E+02    0.157924537121474184E+01   -0.112654075749912490E+02    0.247860189699013489E+01   -0.120787984371144290E+02    0.232324603768803684E+01    0.724181454058405361E+05
    0.455821682192699307E+00    0.154360511349146273E+00   -0.128721258969843220E+02    0.908801751436939642E+00   -0.116540936517233167E+02    0.288157144525798659E+01   -0.121619648906881892E+02    0.215219920560306832E+01    0.724182606248696538E+05
    0.824687754266929085E+00    0.857856583360614655E+00   -0.128356419216336377E+02    0.960916869111683836E+00   -0.119935836378542948E+02    0.495745288619338709E+01   -0.120179851474801023E+02    0.187670252691982187E+01    0.724188352407638740E+05
    0.837560138427271061E+00    0.854269603998463856E+00   -0.130013303247387313E+02    0.103455995214769203E+01   -0.118454949902190627E+02    0.431775348646532819E+01   -0.120177314487826727E+02    0.228197747682729490E+01    0.724188367495414423E+05
    0.896302066467181580E+00    0.842315744812879963E+00   -0.127453780611486458E+02    0.107703941219287502E+01   -0.121641699767531506E+02    0.513606609110778756E+01   -0.120935161606529995E+02    0.168997698909441740E+01    0.724188667554867425E+05
    0.553871261338497733E+00    0.103383902695126623E+00   -0.127720747102487309E+02    0.966639581742521403E+00   -0.118847152601780675E+02    0.389050819876661480E+01   -0.122092122150742668E+02    0.197015702238959944E+01    0.724189789359926945E+05
    0.986538109380122985E+00    0.857510697654804144E+00   -0.126483601694264536E+02    0.145727350105823028E+01   -0.115761619217474578E+02    0.308403755451789863E+01   -0.120897607655745478E+02    0.184220501564127592E+01    0.724189822608369432E+05
    0.825571638402529451E+00    0.861304573931581885E+00   -0.130194859209102347E+02    0.655936868012319874E+00   -0.114648396574538864E+02    0.349479946770115824E+01   -0.120822644441136369E+02    0.241259921157111457E+01    0.724189946510733425E+05
    0.889561765242687152E+00    0.836964241856657853E+00   -0.128301378601081737E+02    0.118130882643359403E+01   -0.116621324631941352E+02    0.344349748451670079E+01   -0.119626547102459568E+02    0.284879092097837994E+01    0.724190224047613447E+05
    0.914556958631239314E+00    0.840187971696237157E+00   -0.128229202157539230E+02    0.187947969536207382E+01   -0.115789895377838157E+02    0.381015474120387587E+01   -0.121352834752386336E+02    0.237970443044348645E+01    0.724190302046355355E+05
