    0.824452459812164307E+00    0.297191262245178223E+00    0.147012591361999512E+00    0.218754649162292480E+03   -0.423100988531222555E+01   -0.927185773849487305E+00   -0.121368330717086792E+02    0.268252623081207275E+01   -0.129958653450012207E+02    0.490351688861846924E+01   -0.146786993741989136E+02    0.277529203891754150E+01   -0.100000000000000000E+21   -0.529831319988485294E+01    1
    0.871108412742614746E+00    0.821628272533416748E+00    0.268430113792419434E-01   -0.854949355125427246E+02    0.488783268927756254E+01    0.151067316532135010E+00   -0.100116562843322754E+02    0.284101080894470215E+01   -0.126261132955551147E+02    0.320523869991302490E+01   -0.172580194473266602E+02    0.213534700870513916E+01   -0.100000000000000000E+21   -0.530331319988484751E+01    1
    0.912946343421936035E+00    0.699625313282012939E+00    0.832958817481994629E+00   -0.273399531841278076E+03   -0.978315776796766734E+01   -0.758734703063964844E+00   -0.113412630558013916E+02    0.211159551143646240E+01   -0.197679090499877930E+02    0.269467413425445557E+01   -0.180741316080093384E+02    0.808600187301635742E+00   -0.100000000000000000E+21   -0.530831319988485095E+01    1
    0.875420808792114258E+00    0.987335085868835449E+00    0.571795582771301270E+00   -0.147927880287170410E+03   -0.955382258721780175E+01   -0.290515035390853882E+00   -0.109525424242019653E+02    0.496870994567871094E+01   -0.192195606231689453E+02    0.192793607711791992E-01   -0.121669006347656250E+02    0.511474585533142090E+01   -0.100000000000000000E+21   -0.531331319988484285E+01    1
    0.453461468219757080E+00    0.558783829212188721E+00    0.545905709266662598E+00   -0.326190710067749023E+03   -0.119875894920274266E+02   -0.712877869606018066E+00   -0.100118082761764526E+02    0.183556401729583740E+01   -0.147933983802795410E+02    0.577270746231079102E+00   -0.199316096305847168E+02    0.436303746700286865E+01   -0.100000000000000000E+21   -0.531831319988483830E+01    1
    0.402397334575653076E+00    0.207094550132751465E+00    0.955887556076049805E+00   -0.440571486949920654E+03    0.424721207244784082E+01   -0.561854153871536255E+00   -0.112191146612167358E+02    0.538069939613342285E+01   -0.150461900234222412E+02    0.163877534866333008E+01   -0.177177613973617554E+02    0.209902524948120117E+01   -0.100000000000000000E+21   -0.532331319988484530E+01    1
    0.685940086841583252E+00    0.938583135604858398E+00    0.861258506774902344E-01   -0.159301400184631348E+03    0.191183396428494667E+01   -0.318088144063949585E+00   -0.111144268512725830E+02    0.176619780063629150E+01   -0.198831576108932495E+02    0.477003514766693115E+01   -0.119559133052825928E+02    0.351726865768432617E+01   -0.100000000000000000E+21   -0.532831319988484609E+01    1
    0.507425069808959961E-01    0.151028513908386230E+00    0.726267635822296143E+00   -0.129055619239807129E+03   -0.125550337321592860E+02   -0.406735241413116455E-01   -0.104636657238006592E+02    0.500186097621917725E+01   -0.192105960845947266E+02    0.344145941734313965E+01   -0.197481530904769897E+02    0.343287348747253418E+01   -0.100000000000000000E+21   -0.533331319988484154E+01    1
    0.100747585296630859E+00    0.327177703380584717E+00    0.207037627696990967E+00   -0.136809408664703369E+03   -0.497647265465091770E+01   -0.834709018468856812E+00   -0.101507514715194702E+02    0.183886170387268066E+00   -0.196835631132125854E+02    0.505351781845092773E+00   -0.131671547889709473E+02    0.347424674034118652E+01   -0.100000000000000000E+21   -0.533831319988483788E+01    1
    0.896097719669342041E+00    0.927559673786163330E+00    0.660192728042602539E+00   -0.295203745365142822E+03   -0.489115729973191549E+01   -0.207010418176651001E+00   -0.100707244873046875E+02    0.501778757572174072E+01   -0.127278995513916016E+02    0.375917315483093262E+01   -0.147025895118713379E+02    0.197619509696960449E+01   -0.100000000000000000E+21   -0.534331319988483511E+01    1
    0.564946889877319336E+00    0.515730917453765869E+00    0.980619311332702637E+00   -0.846979022026062012E+02    0.440340965091920467E+01   -0.703855961561203003E+00   -0.116624480485916138E+02    0.324758720397949219E+01   -0.109765678644180298E+02    0.387445592880249023E+01   -0.137366050481796265E+02    0.477408027648925781E+01   -0.100000000000000000E+21   -0.534831319988484299E+01    1
    0.180547535419464111E+00    0.428227484226226807E+00    0.281314492225646973E+00    0.242917716503143311E+03   -0.854749291663958743E+00   -0.532586783170700073E+00   -0.118703842163085938E+02    0.329244410991668701E+01   -0.113073617219924927E+02    0.132615566253662109E-01   -0.106128877401351929E+02    0.685309767723083496E+00   -0.100000000000000000E+21   -0.535331319988485443E+01    1
