Nested Sampling Global Log-Evidence           :    0.724324811312975071E+05  +/-    0.463536029351057699E+00
Nested Importance Sampling Global Log-Evidence:    0.724318603018314607E+05  +/-    0.838506350705143233E-01

Dim No.       Mean        Sigma
   1    0.858956482894608908E+00    0.106692160955460955E+00
   2    0.810823380274335870E+00    0.166206962147336379E+00
   3   -0.128349592605476861E+02    0.569608719562808632E-01
   4    0.115357567101416314E+01    0.251699140995006343E+00
   5   -0.116559520631988569E+02    0.224537412841979783E+00
   6    0.359383945961249962E+01    0.619084747145893677E+00
   7   -0.120671064805255366E+02    0.374341145122674898E-01
   8    0.230133959059678039E+01    0.213383155856171125E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.802344317815606001E+00
   2    0.869075944698621705E+00
   3   -0.128019079237926583E+02
   4    0.122321474883640047E+01
   5   -0.117200431612532228E+02
   6    0.382263829684626222E+01
   7   -0.120562571337294102E+02
   8    0.230223976953941900E+01

MAP Parameters
Dim No.        Parameter
   1    0.802344317815606001E+00
   2    0.869075944698621705E+00
   3   -0.128019079237926583E+02
   4    0.122321474883640047E+01
   5   -0.117200431612532228E+02
   6    0.382263829684626222E+01
   7   -0.120562571337294102E+02
   8    0.230223976953941900E+01
