Nested Sampling Global Log-Evidence           :    0.894626811403374595E+05  +/-    0.578661837608486329E+00
Nested Importance Sampling Global Log-Evidence:    0.894627882640449970E+05  +/-    0.308839349254722388E-01

Dim No.       Mean        Sigma
   1    0.579761957921385185E+00    0.100317568803601187E+01
   2    0.248011778176759096E+00    0.100520345530653143E+00
   3    0.528829976856030282E+00    0.153660257553149410E+00
   4   -0.112723529035931609E+02    0.427184964123446045E-01
   5    0.566830251295925680E+00    0.154904220526792175E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.520405474489712638E+00
   2    0.176450192351130714E+00
   3    0.659597790837465725E+00
   4   -0.112398413885096708E+02
   5    0.615413889126637970E+00

MAP Parameters
Dim No.        Parameter
   1    0.520405474489712638E+00
   2    0.176450192351130714E+00
   3    0.659597790837465725E+00
   4   -0.112398413885096708E+02
   5    0.615413889126637970E+00
