632.221 3.70356e-07 4.16e-07 0.890278
1137.84 -3.72728e-07 4.66e-07 -0.799845
1153.91 -2.65335e-08 1.77e-07 -0.149907
1162.83 -1.14829e-07 3.99e-07 -0.287792
1163.91 1.3903e-07 2.04e-07 0.681518
1193.79 4.4076e-07 1.35e-07 3.26489
1227.4 9.11525e-07 6.45e-07 1.41322
1232.67 4.04973e-07 2.79e-07 1.45152
1257.59 -1.901e-07 1.37e-07 -1.38759
1258.65 6.89087e-07 3.29e-07 2.09449
1289.38 -1.22479e-07 1.3e-07 -0.94215
1292.44 2.56883e-07 2.72e-07 0.944424
1292.49 -1.89332e-08 1.13e-07 -0.16755
1292.54 3.32345e-07 2.79e-07 1.1912
1303.48 9.06851e-07 3.39e-07 2.67508
1306.39 -9.41503e-07 9.12e-07 -1.03235
1307.35 5.43923e-07 4.26e-07 1.27681
1319.42 -2.67751e-07 4.06e-07 -0.659486
1320.41 -9.15497e-08 1.31e-07 -0.698853
1340.38 -1.98873e-07 1.8e-07 -1.10485
1342.37 5.05119e-08 2.05e-07 0.2464
1342.42 -8.03684e-08 2.11e-07 -0.380893
1355.38 3.32689e-07 2.09e-07 1.59181
1356.31 4.81104e-07 2.26e-07 2.12878
1376.32 1.23904e-06 3.02e-07 4.10277
1392.23 1.3654e-06 4.4e-08 31.0319
1392.28 1.36779e-06 6e-08 22.7964
1394.23 7.18658e-08 1.78e-07 0.403741
1395.27 1.14693e-06 1.45e-07 7.90985
1396.15 1.65022e-06 4.71e-07 3.50365
1417.15 5.00447e-07 3.81e-07 1.31351
1419.19 7.6499e-07 1.299e-06 0.588907
1439.09 6.80375e-07 3.64e-07 1.86916
1440.12 7.37191e-07 9.88e-07 0.746145
1454.07 8.29202e-09 1.91e-07 0.0434137
1454.95 -9.89264e-07 1.968e-06 -0.502675
1454.98 3.71791e-07 3.17e-07 1.17284
1455.11 -1.8561e-07 2.08e-07 -0.892355
1465.07 3.81174e-08 1.38e-07 0.276213
1467.86 4.31712e-08 4.7e-07 0.0918536
1468.85 4.6403e-08 8.5e-08 0.545917
1492.98 8.06805e-07 3.78e-07 2.13441
1493.72 1.21248e-07 1.11e-07 1.09232
1527.8 1.7993e-09 1.14e-07 0.0157833
1527.85 -2.48861e-07 1.67e-07 -1.49019
1527.89 -9.06633e-08 1.16e-07 -0.78158
1528.79 -1.47245e-07 1.09e-07 -1.35087
1528.84 -3.06645e-07 1.74e-07 -1.76233
1528.91 -2.83955e-08 1.18e-07 -0.24064
1551.77 7.39666e-08 3.82e-07 0.19363
1567.67 -3.42984e-08 1.99e-07 -0.172354
1567.75 1.89834e-07 3.35e-07 0.566668
1567.8 -1.37901e-07 3.72e-07 -0.3707
1570.76 1.19357e-06 7.32e-07 1.63055
1582.69 -8.69297e-08 9.5e-08 -0.91505
1589.38 1.85961e-07 1.63e-07 1.14087
1589.43 -1.92258e-08 9.8e-08 -0.196181
1589.48 2.54093e-08 1.15e-07 0.22095
1589.53 2.75832e-07 2.68e-07 1.02922
1611.52 6.36791e-08 3.81e-07 0.167137
1612.41 6.75278e-07 3.85e-07 1.75397
1614.4 -3.67877e-08 3.59e-07 -0.102473
1628.54 4.16366e-07 2.36e-07 1.76426
1651.47 4.9834e-07 5.8e-07 0.859208
1653.23 4.30721e-07 3.41e-07 1.26311
1653.54 1.67672e-06 4.04e-07 4.1503
1669.51 1.86728e-07 1.51e-07 1.23661
1670.43 -4.64317e-08 2e-07 -0.232159
1670.48 -1.03448e-07 1.69e-07 -0.612119
1672.43 1.41865e-08 2.4e-07 0.0591106
1676.15 7.7527e-07 1.83e-07 4.23645
1676.19 7.35758e-07 4.9e-07 1.50155
1676.24 -3.07933e-07 5.42e-07 -0.568143
1676.29 4.69589e-07 2.76e-07 1.70141
1676.34 7.54975e-07 3.61e-07 2.09134
1676.39 1.2874e-07 4.23e-07 0.30435
1676.44 8.53261e-07 2.19e-07 3.89617
1676.49 6.8373e-07 1.19e-07 5.74563
1685.45 1.52182e-06 6.72e-07 2.26462
1686.33 3.33341e-07 5.77e-07 0.577714
