KOM KIN KOM_FIT KIN_FIT CHISQ
0 180 -1.14905860865767e-44 180 47783940587917053751255139940164857362881817887100070178848768.00
0 161.805 -135.867030367473 133.639759935217 6772.88
0 154.158 -86.9725500339074 79.6138922204422 6771.34
0 148.212 -69.5403256113116 111.177204041157 6770.12
0 143.13 -71.2319067116568 88.165833974466 6770.09
0 138.59 70.9687387097527 22.7336028176794 6771.88
0 134.427 -367.926443126185 398.706862372677 6770.72
0 130.542 -420.694342352511 63.8332803886336 6766.19
0 126.87 -304.493978997539 -28.6008116970069 6766.11
0 123.367 -286.046589132991 78.2372994857288 6766.44
0 120 -546.073165442407 -87.0998435990574 6767.49
0 116.744 -353.593959495337 -105.427413029769 6768.45
0 113.578 -418.113486194832 -113.011837063607 6768.68
0 110.487 697.443823165688 -287.112034506187 6768.61
0 107.458 119.902781154328 -92.1851917353204 6766.12
0 104.478 10.6434062925558 -26.3658680594249 6766.15
0 101.537 -86.1871398799335 55.1794284197393 6766.18
0 98.6269 -159.372319760523 110.668729626433 6766.63
0 95.7392 -186.793086994155 107.289714471711 6767.77
0 92.866 -192.81638498787 111.927540050137 6769.07
0 90 -185.259113943301 129.924050259697 6770.61
0 87.134 -147.441792076033 138.461685754569 6772.22
0 84.2608 -110.832882024744 126.335197005236 6772.87
0 81.3731 -109.842890283361 123.770523203716 6772.91
0 78.463 -115.886369287158 130.581128982892 6772.82
0 75.5225 -119.717478873701 135.81499488582 6772.71
0 72.5424 -122.78871051449 139.099794332528 6772.73
0 69.5127 -124.980902472655 141.60299882051 6772.75
0 66.4218 -125.693355296894 143.35641032696 6772.78
0 63.2563 -124.855418691865 143.973803871594 6772.79
0 60 -123.023271157128 143.307317915209 6772.79
0 56.633 -120.971968430338 141.592539298429 6772.78
0 53.1301 -119.156688086924 139.185005911764 6772.80
0 49.4584 -117.447597275859 136.192310673653 6772.82
0 45.573 -115.754760837818 132.805408404019 6772.86
0 41.4096 -118.780200609993 134.186073294127 6772.68
0 36.8699 -118.466845275941 117.180886661887 6771.88
0 31.7883 -57.889251567033 70.7643801060464 6770.59
0 25.8419 -51.0527496958902 79.1399804493008 6768.69
0 18.1949 -9.14242456647991 63.2197748120904 6768.19
