KOM KIN KOM_FIT KIN_FIT CHISQ
0 70.0035 164.062412288035 78.9772510329264 7674.21
0 109.996 33.5833438260428 112.206335267447 7676.36
2 70.0035 55.4775117424524 81.1177827756598 7667.13
2 109.996 33.7909314070329 112.321892919071 7676.36
4 70.0035 23.7789791960176 66.605304921274 7667.67
4 109.996 34.0300184250206 112.457293243154 7676.37
6 70.0035 168.706699961491 67.4691275772771 7662.86
6 109.996 34.2675214103691 112.593660596501 7676.37
8 70.0035 -171.529267476832 92.0957029413358 7725.18
8 109.996 34.4844487663317 112.720343179849 7676.39
10 70.0035 101.668386637694 100.304740735566 7710.00
10 109.996 34.6711274821996 112.832116944083 7676.38
12 70.0035 120.370372983806 66.054214662326 7664.86
12 109.996 34.8272013796216 112.928023457845 7676.39
14 70.0035 90.9078931220105 67.425802468564 7668.15
14 109.996 34.9531102840265 113.007727249129 7676.40
16 70.0035 90.9200341256676 68.403613625035 7668.77
16 109.996 35.0522427044038 113.072600166332 7676.41
18 70.0035 92.9041866957908 68.8470958439951 7668.92
18 109.996 35.128550675306 113.123684818556 7676.40
20 70.0035 94.2752022834342 69.0607813331883 7668.93
20 109.996 35.1834872328876 113.162304618203 7676.42
22 70.0035 95.0664545943413 69.1778127849267 7668.92
22 109.996 35.2235195132834 113.191100544644 7676.41
24 70.0035 95.5118499016421 69.2512133243003 7668.90
24 109.996 35.2514255357774 113.211363831707 7676.42
26 70.0035 95.7679516548136 69.3041590754951 7668.88
26 109.996 35.2690230409838 113.224810322301 7676.41
28 70.0035 95.9275079001168 69.3452085825039 7668.87
28 109.996 35.2777091969758 113.231697331624 7676.41
30 70.0035 96.0345873262152 69.3785740421283 7668.86
30 109.996 35.2812180481824 113.23478128915 7676.41
32 70.0035 96.1128546953724 69.4078633689377 7668.84
32 109.996 35.2806418075597 113.234705043281 7676.42
34 70.0035 96.1739082479034 69.4323372480482 7668.84
34 109.996 35.2757516711071 113.231368501516 7676.42
36 70.0035 96.2262979823227 69.4543698074228 7668.83
36 109.996 35.2698146624657 113.226871633215 7676.42
38 70.0035 96.269554040405 69.4737828655792 7668.82
38 109.996 35.2608484707416 113.22060630746 7676.42
40 70.0035 96.3074320556586 69.4910562508966 7668.81
40 109.996 35.2520216015178 113.213920489517 7676.42
42 70.0035 96.3442049850282 69.5068807151806 7668.81
42 109.996 35.2422885668155 113.206759790291 7676.42
44 70.0035 96.3740492679007 69.5209322747443 7668.79
44 109.996 35.231712702229 113.198792341149 7676.41
46 70.0035 96.405254969311 69.5338809935762 7668.80
46 109.996 35.2220147312786 113.191464955845 7676.42
48 70.0035 96.4322574380262 69.54618308582 7668.80
48 109.996 35.2119702596014 113.183988516198 7676.41
50 70.0035 96.4580249845123 69.5574402809416 7668.80
50 109.996 35.2040404549124 113.177482939164 7676.41
52 70.0035 96.4811860555251 69.5674016698756 7668.80
52 109.996 35.1960018143886 113.170854493914 7676.43
54 70.0035 96.5028965262621 69.5774916539818 7668.80
54 109.996 35.1886046800803 113.164695971326 7676.40
56 70.0035 96.523814397144 69.5866718535622 7668.79
56 109.996 35.1821992745134 113.159062028719 7676.41
58 70.0035 96.5427956318599 69.5944126322064 7668.78
58 109.996 35.1763410906783 113.153972406615 7676.42
60 70.0035 96.5602332232672 69.602161545382 7668.78
60 109.996 35.1697023450512 113.148423292154 7676.41
62 70.0035 96.5775001132148 69.6096403681017 7668.78
62 109.996 35.1658339083278 113.144387641901 7676.41
64 70.0035 96.5935093123965 69.6162020054695 7668.79
64 109.996 35.1615815667115 113.140523510438 7676.41
66 70.0035 96.6092099326371 69.6225900905463 7668.78
66 109.996 35.1570526907608 113.136613271636 7676.41
68 70.0035 96.61955622826 69.6281597888688 7668.79
68 109.996 35.1512024273626 113.132589157403 7676.41
70 70.0035 96.6324606321797 69.6332526840151 7668.79
70 109.996 35.1455590884374 113.128657556979 7676.40
72 70.0035 96.6427308436748 69.637688810054 7668.78
72 109.996 35.1390484997142 113.125147601509 7676.40
74 70.0035 96.6493304531945 69.6412033198105 7668.78
74 109.996 35.1312617344605 113.121276766633 7676.39
76 70.0035 96.6561945749706 69.644919257853 7668.77
76 109.996 35.1220601276586 113.116899911176 7676.41
78 70.0035 96.6636298213479 69.6477331595767 7668.77
78 109.996 35.1113124068594 113.111922688201 7676.40
80 70.0035 96.6695821139979 69.6504690593597 7668.78
80 109.996 35.0979733609186 113.105438218798 7676.40
82 70.0035 96.672568541807 69.6517018647208 7668.77
82 109.996 35.0827944265082 113.097452297224 7676.42
84 70.0035 96.6756574823083 69.6528055732844 7668.77
84 109.996 35.0649516029791 113.086623144557 7676.41
86 70.0035 96.6747296094876 69.6532564819354 7668.77
86 109.996 35.0464234992278 113.072749373467 7676.41
88 70.0035 96.6756962662677 69.6535340145039 7668.77
88 109.996 35.0285024198788 113.054521027938 7676.39
90 70.0035 96.6742940954124 69.6526791404824 7668.78
90 109.996 35.0124395188168 113.029731660959 7676.40
92 70.0035 96.6731090102163 69.6519232930895 7668.78
92 109.996 35.0017845708345 112.994896797313 7676.39
94 70.0035 96.667413634392 69.6497356573414 7668.78
94 109.996 35.0051914954788 112.947485053451 7676.37
96 70.0035 96.6639667635666 69.6475059150721 7668.78
96 109.996 35.0339260614928 112.88172918327 7676.36
98 70.0035 96.6566079536463 69.644676795594 7668.78
98 109.996 35.1116446631133 112.79121307245 7676.33
100 70.0035 96.6500966756389 69.6418582964328 7668.79
100 109.996 35.2739965234113 112.665999105804 7676.27
102 70.0035 96.6399760634139 69.6377409972512 7668.78
102 109.996 35.5817152812497 112.492142775515 7676.19
104 70.0035 96.6309682105816 69.6336670671867 7668.78
104 109.996 36.1367844009069 112.254248994698 7676.06
106 70.0035 96.6213872825894 69.6287258626994 7668.78
106 109.996 37.0897332396608 111.933969408836 7675.80
108 70.0035 96.6091879182942 69.6233615545243 7668.78
108 109.996 38.6163730393175 111.527205871432 7675.40
110 70.0035 96.5941874949877 69.6166387873373 7668.79
110 109.996 40.5932105238844 111.08681747356 7674.68
112 70.0035 96.5779884711308 69.6093760984455 7668.79
112 109.996 40.3457878401055 110.87993282592 7673.31
114 70.0035 96.5599939838582 69.6014660391186 7668.79
114 109.996 10.4499965908169 111.700558770083 7669.83
116 70.0035 96.5353433346178 69.5904918745116 7668.79
116 109.996 187.061478806899 84.426987621749 7702.16
118 70.0035 96.5008457783889 69.5768478482057 7668.79
118 109.996 281.508537283551 105.175377175454 7694.62
120 70.0035 96.4530000422931 69.5584465486926 7668.81
120 109.996 184.187843371323 79.5518679572816 7713.79
122 70.0035 96.3822089221361 69.5325522369784 7668.81
122 109.996 110.704467209162 117.041664028298 7669.66
124 70.0035 96.2765908881292 69.4953138575022 7668.82
124 109.996 -77.259773869473 105.711140171825 7690.38
126 70.0035 96.1260838216308 69.4417417083832 7668.85
126 109.996 -84.3013324358052 109.286675946035 7689.42
128 70.0035 95.9288328650833 69.3632473361775 7668.86
128 109.996 -85.0635760960013 109.948733754619 7689.32
130 70.0035 95.7043183086735 69.2522925603638 7668.92
130 109.996 -85.3554056539882 110.128267033749 7689.33
132 70.0035 95.5436270851529 69.0954583080328 7668.99
132 109.996 -85.2694334887346 110.054001113926 7689.32
134 70.0035 95.5606706866774 68.8511224190637 7669.09
134 109.996 -84.6912187706339 109.677315280426 7689.37
136 70.0035 94.0200302938849 68.2217852330017 7669.00
136 109.996 -83.4375359296054 108.714234925114 7689.57
138 70.0035 8.14465629896421 65.6782537093933 7663.63
138 109.996 -79.45731461632 106.173322944983 7690.36
140 70.0035 207.42820914158 72.3767837535125 7679.28
140 109.996 33.2285071564614 99.7960946541575 7687.03
142 70.0035 373.934658527037 92.4725173966057 7707.31
142 109.996 -528.585247653338 56.7123496424766 7672.67
144 70.0035 -470.850848545718 87.597409523528 7697.47
144 109.996 -285.060647211589 85.0515331699168 7666.37
146 70.0035 -357.335894624432 79.6445163640588 7664.11
146 109.996 -269.715900150034 69.4964284342932 7668.86
148 70.0035 -366.879397380422 70.2863054166543 7663.41
148 109.996 -807.457395151548 96.5067638498673 7858.73
150 70.0035 -259.105702271204 76.9841471879451 7672.54
150 109.996 234.647364984431 87.461242841346 7708.01
152 70.0035 631.569249229391 99.8491299662469 7679.71
152 109.996 33.4893829720357 83.9107622490362 7668.94
154 70.0035 202.207409409402 71.3110665873352 7680.15
154 109.996 60.6358418264008 78.8368139592477 7676.21
156 70.0035 133.661253462856 82.5027369011606 7671.35
156 109.996 124.381429927957 79.4887960172643 7672.72
158 70.0035 12.6842123446874 64.7473701817378 7664.56
158 109.996 296.226319720889 83.4107634200309 7665.18
160 70.0035 89.181599804246 68.6540631147269 7668.50
160 109.996 452.635220854955 86.1418242421886 7675.09
162 70.0035 95.4016852168113 69.8134577300862 7668.62
162 109.996 845.932068947907 89.1066470356845 7888.66
164 70.0035 113.642475063529 65.5845050842841 7665.44
164 109.996 1007.2399748409 93.9289403205736 7727.44
166 70.0035 -166.515640084923 79.513973625743 7697.29
166 109.996 -233.75750580033 95.0158207535281 7746.54
168 70.0035 -225.211969101772 74.1024335861477 7696.45
168 109.996 38.7721798793321 85.0075372154901 7702.68
170 70.0035 251.091115636786 75.4693797493361 7661.09
170 109.996 1166.32700603818 87.4589954624634 7704.62
172 70.0035 138.428587289682 74.6420650749409 7666.44
172 109.996 1006.39204865427 90.6268002324749 7670.54
174 70.0035 116.19583647556 74.499015953196 7669.60
174 109.996 -1256.75820841991 269.114808785718 7740.41
176 70.0035 45.3679321422701 72.424061937143 7666.97
176 109.996 76.221239842064 141.661236978316 7685.72
178 70.0035 -50.9790801376814 75.7504804045555 7661.01
178 109.996 111.314084806029 68.7601089127214 7671.21
180 70.0035 58.5022770796866 80.2718255029741 7667.38
180 109.996 257.940125508796 99.0652115304509 7688.75
182 70.0035 122.058452388844 80.1210620877816 7671.41
182 109.996 270.416444201815 109.149533500573 7689.58
184 70.0035 148.400703412971 79.4023339917397 7673.16
184 109.996 272.031897468655 110.599622066344 7689.39
186 70.0035 161.651979264962 78.7606210616654 7674.09
186 109.996 272.678533189078 110.661068088375 7689.30
188 70.0035 169.476228556053 78.2358150309896 7674.65
188 109.996 273.135890320213 110.493794160441 7689.27
190 70.0035 174.639262291601 77.8044499423271 7675.04
190 109.996 273.501402873495 110.323467231537 7689.28
192 70.0035 178.309857792333 77.4446290474949 7675.34
192 109.996 273.791159879537 110.190697973708 7689.29
194 70.0035 181.076256256964 77.1382478399829 7675.56
194 109.996 274.022314608475 110.096453719696 7689.28
196 70.0035 183.245930911394 76.873828491418 7675.75
196 109.996 274.203569849685 110.032826115568 7689.30
198 70.0035 185.00024229746 76.6426774692396 7675.90
198 109.996 274.343561557753 109.992055208474 7689.30
200 70.0035 186.461639159893 76.4373100581852 7676.04
200 109.996 274.452028785971 109.968390528285 7689.30
202 70.0035 187.695784218144 76.254398209462 7676.15
202 109.996 274.53399393484 109.956335913432 7689.31
204 70.0035 188.75979146444 76.0894797974828 7676.25
204 109.996 274.593023701234 109.954501987713 7689.32
206 70.0035 189.687265412457 75.9399991319611 7676.35
206 109.996 274.63622165461 109.958030650591 7689.31
208 70.0035 190.502742372345 75.8040565900563 7676.43
208 109.996 274.663585564395 109.966555817766 7689.31
210 70.0035 191.23015855836 75.6793882130483 7676.51
210 109.996 274.678373495787 109.978736241373 7689.32
212 70.0035 191.877287004489 75.5656575440923 7676.57
212 109.996 274.688031252756 109.992154987732 7689.32
214 70.0035 192.461244406145 75.4608227584113 7676.64
214 109.996 274.685296954595 110.007482612079 7689.30
216 70.0035 192.986865194506 75.3645801306998 7676.71
216 109.996 274.678466591173 110.023478831562 7689.31
218 70.0035 193.464847595813 75.2757206449676 7676.76
218 109.996 274.667852469844 110.039826638356 7689.32
220 70.0035 193.894601709508 75.1947233647147 7676.82
220 109.996 274.655149188317 110.056307205375 7689.32
222 70.0035 194.287189644612 75.1198085821351 7676.86
222 109.996 274.634238007184 110.073038716944 7689.30
224 70.0035 194.644591121122 75.0508783079646 7676.89
